,model_out_raw,history,text,restored_text
103,У меня только животное.,"['Привет.', 'Привет, ты учишься?', 'Ты как,  нет не учусь, я визажист, люблю моду разную.', 'У тебя есть животное?', 'Да есть, любимый кот, а у тебя я мечтаю вместе с котом побывать в горах.', 'У меня есть черепаха, это единственное существо, кого я могу покормить.', 'Интересно кормить черепаху.', 'Я обожаю природу. У тебя есть семья?']",У меня только животное.,"У меня только животное, семьи нет."
104,Вышиваю на ночь глядя... А ты?,"['Привет.', 'О! Приветствую друг! Чем занимаешься сейчас?']",Вышиваю на ночь глядя... А ты??,Вышиваю на ночь глядя... А ты чем занимаешься??
105,"Ага, 1,5 м. Так что горы мне не покорить.","['Привет, как настроение?', 'Привет! Настроение отлично! А у тебя как настроение?', 'Мое настроение тоже отлично! Тортик приготовила вкусный! Чем занимаешься?', 'Ммммм, ты тортик приготовила. Вот тортики я обожаю, хотя я вообще всеядный)) Ну, кроме мяса, мясо я не люблю. А кто ты по профессии?', 'В зоопарке работаю. Нравятся животные и природа. А ты чем занимаешься?', 'Природа - это здорово! Я обожаю горы, мы с девушкой частенько стараемся отдыхать именно в горах. И к тому же я коллекционер бабочек. Я дизайнер по профессии.', 'Горы - это классно! Но мне с моим ростом трудно погорам лазить.', 'Ты маленького роста?']","Ага, 1,5 м. Так что горы мне не покорить.","Ага, я всего 1,5 м ростом. Так что горы мне не покорить."
106,"И, по всей видимости, сложной. Мне кажется, это безумно ответственная и тяжелая работа. А что делаешь в свободное время?","['Привет!', 'Привет, ты чем занимаешься?', 'Рада знакомству. Надеюсь, что с тобой у нас получится диалог, а то меня никто не понимает.', 'Наверное, получится диалог. Я знаю пару языков. Что у тебя за проблема? Рассказывай о своей проблеме.', 'Я студентка. Учусь в колледже. Но меня учеба в колледже бесит! Эти правила, рамки! Вчера взяла и побрилась налысо. Так теперь от меня отвернулась даже сестра! Извини что так сразу. Просто накипело. А ты чем занимаешься?', 'А я банкир, занимаюсь расчётами. У меня очень много работы.']","И, по всей видимости, сложной. Мне кажется, это безумно ответственная и тяжелая работа. А что делаешь в свободное время?","И, по всей видимости, у тебя много сложной работы. Мне кажется, это безумно ответственная и тяжелая работа. А что делаешь в свободное время?"
107,Можно.,"['Привет, у меня есть бобёр, я люблю животных, а ты чем занимаешься?', 'Бобер?.. Живой? Чёрт возьми. Напишу об этом стих о человеке, у которого был бобер.', 'Дааа, напиши обо мне стих!', 'А я гонять люблю.', 'Я холерик.', 'Скорость — моё всё, холерик это в смысле вспыльчивый?', 'Ооо, адреналин любишь, я тоже... Я монтажник на высоте, да, вспыльчивый.', 'Люблю адреналин. Потому спортом занимаюсь. Велогонки. Это чертовски бодрит.', 'Сочини стих, а я на гитаре музыку сочиню.', 'Правда, теперь эти заезды не закурить хд. Ну хоть дыхалку улучшил. Теперь места получше занимать стал. Отлично. У нас почти ""Бойз Бэнд"" хд. А потом про нас снимут фильм. Странный какой-нибудь неординарный фильм. Как я люблю. И все будут гадать долго о нашей жизни. И таскать на цитатки в вк.']",Можно.,Можно и фильм снять.
108,"А я охоту не очень люблю, я работаю на дому, поэтому я люблю больше дома в спокойствии и в семье.","['Здорова.', 'Привет, бро!', 'Как делища?', 'Всё супер! У тебя как дела? Как твоя семья?', 'Везёт тебе, что у тебя все супер, а я еду в маршрутке. Любимая ласточка у меня сломалась, и в маршрутке играет тупая музыка, нет среди музыки в маршрутке любимого КИШа.', 'Афигеть, твоя ласточка сломалась, вот это ты попал. Может тебе помочь чем?', 'Да не, всё нормуль, осталось немного перетерпеть. После работы можно пивка бахнуть и доживать до выходных.', 'О братан, я только за то, чтобы бахнуть пивка!', 'Семьи у меня нет ещё, как и времени свободного из-за работы, но у меня есть любовь всей жизни, кроме любви к машине - это охота.', 'Ну со временем всё будет, братик.', 'И пиво тоже мое любимое называется охота. Расскажи о себе, а то я всё о себе, да о себе.', 'А я охоту не очень люблю, я работаю на дому, поэтому я люблю больше дома в спокойствии и в семье.']",Как семья? Какие хобби?,Как твоя семья? Какие у тебя хобби?
109,Сам дитё))) уроки делаю. Какая у вас погода?,"['Привет.', 'Привет, какие фильмы смотришь?', 'Я люблю больше мультфильмы. Ты какого пола? Я девочка.', 'Я мужчина, дедушка.', 'Детей любишь?']",Сам дитё))) уроки делаю. Какая у вас погода?,Я сам дитё))) уроки делаю. Какая у вас погода?
110,"Нет, ещё не разговаривала и в полицию тоже не звонила, уж очень боюсь, что они сделают со мной что-то, потому что они и так меня не любят, потому что я вегетарианка, а тут ещё настучу на них.","['Привет.', 'Привет. Чем занимаешься?', 'Слушаю музыку и рисую. У меня много друзей, которые увлекаются искусством, чаще всего рисую им портреты. Ты чем занимаешься?', 'А я помогаю бездомным. Я сам вырос без родителей, а теперь занимаюсь волонтёрством.', 'Заниматься волонтерством это очень похвально! Я не занимаюсь подобной деятельностью, мне больше нравится сидеть дома, я люблю шить. Кстати, у меня это очень хорошо получается.', 'Ого, так ты по образованию швея или это твоё хобби? Я учитель, даже на работе занимаюсь волонтёрством.', 'Шитье это просто моё хобби и не более. Учителя, уважаемые люди, как я знаю, я не люблю громкую музыку, уже так накипело, эти соседи никак не могут успокоиться, ежедневные шумные пьянки.', 'А вы с соседями разговаривали? Если они не понимают, то нужны какие-то меры. Может, в полицию нужно позвонить?']","Нет, ещё не разговаривала и в полицию тоже не звонила, уж очень боюсь, что они сделают со мной что-то, потому как они и так меня не любят, потому что я вегетарианка, а тут ещё настучу на них.","Нет, я ещё не разговаривала с соседями и в полицию я тоже не звонила, уж очень боюсь, что соседи сделают со мной что-то, потому как соседи и так меня не любят, потому что я вегетарианка, а тут ещё настучу на соседей."
111,"Почему? У меня есть трактор, на нём и работаю.","['Привет.', 'Привет.', 'Как дела, чем занимаешься?', 'Дела хорошо, а у тебя как дела? Я работаю.', 'Я тоже работаю, так что не сказал бы, что у меня дела хорошо. А кем ты работаешь?']","Почему? У меня есть трактор, на нём и работаю.","Почему у тебя дела не хорошо? У меня есть трактор, на нём и работаю."
112,"Привет, очень приятно, я Антон. Чем занимаешься?",['Привет. Меня зовут Аня.'],"Привет, очень приятно, я Антон. Чем занимаешься?","Привет, очень приятно познакомиться, я Антон. Чем занимаешься?"
113,"Люблю животных, но не так сильно, как путешествовать.","['Привет!', 'Привет. Я Михаил. Как тебя зовут? Любишь готовить?', 'Я Александр. Да, я люблю готовить, потому что очень люблю свою жену! Она у меня хорошая! А ты любишь готовить?', 'А я не просто люблю готовить. Это моя профессия.', 'Ого, это здорово, что у тебя такая профессия. Животных любишь?', 'Я тоже женат и у меня 2 детей. У тебя есть дети?', 'К сожалению, пока у меня детей нет.']","Люблю животных, но не так сильно, как путешествовать.","Я люблю животных, но не так сильно, как путешествовать."
114,"Люблю танцевать и гулять с собакой, а твои?","['Привет! Ты откуда?', 'Привет, как дела? Что делаешь? Я вот с технаря пришёл, сейчас поём и в спортзал.', 'Всё хорошо, гуляю с друзьями. Какие у тебя увлечения?']","Люблю танцевать и гулять с собакой, а твои?","Люблю танцевать и гулять с собакой, а твои какие увлечения?"
115,"История: А у меня только жена, детьми пока не обзавёлся. И собака. Неполное высказвание: А у меня ещё один будет беременная.","['Hi.', 'Привет.', 'Познакомимся?', 'Давай познакомимся.', 'У меня большая семья: муж и ребёнок. ', 'А у меня только жена, детьми пока не обзавёлся. И собака.']",А у меня ещё один будет беременная.,"А у меня ещё один ребенок будет, жена беременная."
116,"Афигеть, твоя ласточка сломалась, вот это ты попал. Может тебе помочь чем?","['Здорова.', 'Привет, бро!', 'Как делища?', 'Всё супер! У тебя как дела? Как твоя семья?', 'Везёт тебе, что у тебя все супер, а я еду в маршрутке. Любимая ласточка у меня сломалась, и в маршрутке играет тупая музыка, нет среди музыки в маршрутке любимого КИШа.', 'Афигеть, твоя ласточка сломалась, вот это ты попал. Может тебе помочь чем?']","Да не, всё нормуль, осталось немного. После работы можно пивка бахнуть и доживать до выходных.","Да не, всё нормуль, осталось немного перетерпеть. После работы можно пивка бахнуть и доживать до выходных."
117,Сначала ты.,"['Хай!', 'Привет! Как дела?', 'Дела отлично, гуляю в парке. Ты что любишь?', 'Я люблю моду и стиль.', 'Понятно, чем увлекаешься?', 'А ты чем занимаешься?']",Сначала ты.,"Сначала ты скажи, чем увлекаешься."
118,Привет! Сейчас гуляю в парке с собаками. А ты?,"['Привет.', 'Привет! Чем занимаешься?']",Сейчас гуляю в парке с собаками. А ты?,Сейчас гуляю в парке с собаками. А ты чем занимаешься?
119,"За городом, не люблю квартиры. Грейпфрут, а ты? Какой у тебя цвет волос? Моя девушка блондинка, вечно подкрашивает корни.","['Привет.', 'Привет.', 'Расскажи о себе.', 'Я собираюсь летом отдыхать в необычном месте. А какие у тебя планы на лето? Хочешь взобраться на Эверест?', 'Это круто, что ты собираешься летом отдыхать в необычном месте! Не знаю насчет планов на лето, я просто люблю лето, это моя самая любимая пора. Нет, не хочу в Эверест, я никогда не была в горах и не хочу. А ты хочешь взобраться на Эверест?', 'А мы с девушкой планируем взобраться на Эверест. И хотим взять кота.', 'У тебя есть домашние животные?', 'Я еще не был на Эвересте, но обязательно покорю Эверест. У меня есть кот, а у тебя есть домашние животные? Тебе нравятся мотоциклы?', 'Тоже кот есть. Да, мне нравятся мотоциклы, но не так сильно. Я люблю на них смотреть больше, а тебе нравятся мотоциклы? Любишь фрукты?', 'У меня есть байк: моя девушка не любит, когда я на нём катаюсь. Люблю фрукты, а ты их любишь?', 'Фрукты обожаю.', 'А какие именно фрукты ты любишь? Я люблю не все фрукты.', 'Где живёшь? В городе где-то? Какие фрукты любишь?']","За городом, не люблю квартиры. Грейпфрут, а ты? Какой у тебя цвет волос? Моя девушка блондинка, вечно подкрашивает корни.","За городом живу, не люблю квартиры. Грейпфрут люблю, а ты какие фрукты любишь? Какой у тебя цвет волос? Моя девушка блондинка, вечно подкрашивает корни."
120,Спасибо большое!,"['Привет, как дела?', 'Привет, меня зовут Александра, а вас? У меня всё гуд.', 'У меня тоже все хорошо. Чем занимаешься по жизни? Меня зовут Татьяна.', 'Вообще, официально я копирайтер. Но это только для галочки. И для пенсии. А от жизни стараюсь брать по максимуму: сейчас отдыхаю с ребёнком на Мальдивах. Да, да, отец у меня банкир, ну и что? Зато могу заниматься своим любимым делом - веселиться! Я ещё совсем молода - мне 20. Почему бы и нет?', 'Ничего себе, желаю тебе счастливого отпуска!', 'А у вас чем занята голова?', 'А я просто фермер, развожу кур, баранов, но также хочу индюков завести.']",Спасибо большое!,Спасибо большое за пожелание хорошего отпуска!
121,"Правильно, вдвоём веселее.","['Привет.', 'Привет. Ты откуда?', 'Я из России. Живу у моря. А ты откуда? Как тебя зовут?', 'Ты моряк?) А я живу в деревёнке. Много мечтаю. И некоторые мечты сбываются.', 'Что за деревенька, в которой ты живешь? Она далеко от города? Ты любишь животных?', 'Моя деревенька не совсем далеко от города. В Запорожской области. Да, животных люблю, я вот недавно козу себе завела. Так мы с ней проводим дни и ночи вдвоем. Чем увлекаешься?', 'А у меня три кота!', 'О, коты это тоже хозяйство.', 'Ты замужем? Я увлекаюсь кулинарией, очень люблю готовить. Моё коронное блюдо - лазанья, просто пальчики оближешь.', 'Была замужем. Так сложилось. Расстались. Но ещё хочется замуж. Не теряю надежд. Звучит заманчиво, что ты готовить любишь.']","Правильно, вдвоём веселее.","Правильно, что замуж хотите, вдвоём веселее."
122,В свободное время я ухаживаю за животными! Мы с тобой в этом сильно похожи.,"['Добрый день!', 'Привет, меня Андрей зовут. Возможно, ты меня знаешь даже, видел по телевизору. ))) Я снимаюсь в фильмах.', 'Интересно, я люблю музыку. В каких фильмах ты снимался? У тебя есть цель? Вот я хочу похудеть и уехать на море.', 'Я тоже люблю музыку, когда куплю машину себе, буду слушать её, катаясь за городом.', 'Я ещё учусь в институте, пока не работаю. Моя цель заработать на машину.', 'А я одинок, хочу найти себе половинку. Надоело жить одному.', 'Найти вторую половинку это правильно. Есть у тебя хобби? Я очень люблю разводить рыбок. У меня их несколько видов.', 'В свободное время я ухаживаю за животными! Мы с тобой в этом сильно похожи.']",Это здорово!,"Это здорово, что мы с тобой сильно похожи!"
123,Пироги печь.,"['Привет. Как дела?', 'Привет, я Денис. Тебя как звать?', 'Я Лена. Я стюардесса. А ты кто? ', 'Я 33-летний красавец, люблю секс и ходить в сексшоп.', 'Всё понятно с тобой. Я замужем и у меня есть дочь. Кроме секса ничего больше не любишь?', 'Ты чем любишь заниматься?']",Пироги печь.,Пироги люблю печь.
124,Филолог.,"['Привет.', 'Привет.', 'Где ты работаешь?', 'Как дела?', 'Ах-ха-хах, дела хорошо!', 'Ну я работаю в творческой среде. Я балерина. А ты где работаешь?', 'А я студент, не работаю. Чем в свободное время занимаешься?', 'На кого учишься?']",Филолог.,Учусь на филолога.
125,Какую хочешь?,"['Добрый вечер! Очень рад знакомству. Как вас зовут? Я Евгений.', 'Привет, я тоже очень рад, Антон, кем работаешь.', 'Я работаю не на очень хорошей работе, но знаю, что это временно, я грузчик. А ты кем работаешь? Какое любимое хобби? Я очень люблю, занимается спортом, бегаю по утрам.', 'Я таксист и по натуре интроверт, ты любишь детей.', 'Да люблю детей, у меня есть сыночек. Но он живёт не со мной, а с моей первой женой.', 'Классно, я очень люблю детей, хоть и устаю на работе.', 'А я только женился на своей девушке, но знаю, что она мне подарит кучу деток. Какое любимое блюдо?', 'Очень люблю суши, а ты...', 'У меня любимое блюдо пицца, потому что её можно заказать и ничего не готовить, не люблю я это дело.', 'О чём ты мечтаешь?', 'Мечтаю о хорошей работе, а ты...', 'Метаю о новой машине.']",Какую хочешь?,Какую хочешь машину купить?
126,"Иногда, когда позволяет время, занимаюсь альпинизмом, а занятия в зале для поддержания своей фигуры обязательно для такой профессии, как актриса. Нужно всегда хорошо выглядеть и в жизни, и на экране.","['Привет. Как дела?', 'Привет! Всё хорошо, обеденный перерыв на работе, отдыхаю.', 'Ого, ты в офисе работаешь, наверное?', 'Скорее это передвижной офис, я актриса и постоянно в движении, съёмки проходят по всему миру, а я люблю путешествовать и исследовать мир.', 'Вау, очень интересная профессия актрисы, обожаю творческих людей. ;) Мне как-то приходилось делать причёску для девушки на съёмку, это что-то с чем-то!', 'Ого, представляю, мне каждое утро перед съёмками делают макияж и прическу, а ты чем занимаешься?', 'Я парикмахер, работаю в салоне и на дому. Кстати, самое интересное, что у меня много симпатичных клиентов-мужчин. А как твоя семья относится к твоим путешествиям и отсутствию дома?', 'У меня тоже очень симпатичный мужчина, мы вместе путешествуем и снимаемся, он тоже актёр, и мы недавно в браке. Так что дома мы вместе не бываем и чаще всего одновременно.', 'Совсем забыл представится, меня зовут Влад. У меня немножко необычные взгляды на мир. Партнёра у меня пока нет, к сожалению. Зато есть любимый пёс!', 'Очень приятно, меня Валерия зовут. И домашних животных у меня нет. Хотела как-то рыбку завести, но постоянные разъезды не позволяют ухаживать за животными. А рыбу я люблю, успокаивает.', 'А ты как-то поддерживаешь свою форму, занимаешься спортом? Наверное, для актрис высокие требования. А ты как-то поддерживаешь свою форму, занимаешься спортом? Наверное, для актрис высокие требования.', 'Иногда, когда позволяет время, занимаюсь альпинизмом, а занятия в зале для поддержания своей фигуры обязательно для такой профессии, как актриса. Нужно всегда хорошо выглядеть и в жизни, и на экране.']","Здорово! У меня занятия немного попроще, выхожу на утреннюю пробежку, чтобы держать себя в тонусе.","Здорово, хорошо выглядеть! У меня занятия немного попроще, выхожу на утреннюю пробежку, чтобы держать себя в тонусе."
127,В Москве ты?,"['Привет, я художник, а ты?', 'Привет, какое совпадение, я тоже художник... Что рисуешь?', 'Рисую в основном пейзажи.', 'Я рисую портреты.', 'Ещё я делаю собственную мебель.', 'Это твоя профессия?', 'Да, я художник, а какая у тебя профессия?', 'Моя профессия фотограф.', 'Круто, ты фотограф.', 'Где ты живёшь?']",В Москве ты?,"Живу в Москве, а ты где живешь?"
128,"История: Нет, мне не нужно лечить зубы, хотя у меня есть собака, вы животным зубы лечите? Неполное высказвание: Нет, увы, я не ветеринар, а зубной техник.","['Вам случайно не нужно подлечить зубы.', 'Нет, мне не нужно лечить зубы, хотя у меня есть собака, вы животным зубы лечите?']","Нет, увы, я не ветеринар, а зубной техник.","Нет, увы, не лечу животным зубы, я не ветеринар, а зубной техник."
129,"Это, наверное, круто, кого-то любить. Никогда это чувство не испытывал. У меня из хобби только коллекционирование дорогого крепкого алкоголя, рома, например. А семья у тебя есть?","['Доброе утро, как у вас настроение?', 'У кого утро, а у кого уж обед. Привет! Настроение отличное, как ваше настроение?', 'Прекрасное настроение, как и всегда после утренней прогулки со своими собаками, чем занимаешься?', 'Это здорово, что у тебя есть собаки. Любишь собак? А я сижу, изучаю сайты турфирм. Собираюсь лететь в Молдавию, любимую страну.', 'Несмотря на то что у меня много собак, я каждую люблю по-особенному. И для каждой своей собаки пеку особенные печеньки, хотя, конечно, предпочитаю играть в танки. А у тебя какие есть хобби?']","Это, наверное, круто, кого-то любить. Никогда это чувство не испытывал. У меня из хобби только коллекционирование дорогого крепкого алкоголя, рома, например. А семья у тебя есть?","Это, наверное, круто, кого-то любить. Никогда любви не испытывал. У меня из хобби только коллекционирование дорогого крепкого алкоголя, рома, например. А семья у тебя есть?"
130,Взаимно!,"['Привет. Чем занимаешься?', 'Привет, рад знакомству) Основной вид деятельности - я водитель! А ты чем занимаешься?']",Взаимно!,Взаимно рад знакомству!
131,"А у меня сын, дети - это мои животные.","['Привет.', 'Привет.', 'Чем занимаешься?', 'Работаю в творческом магазине, продаю наборы для творчества. А ты чем занимаешься?', 'Я работаю в приюте для животных.', 'А у тебя есть домашние животные?', 'Конечно, у меня есть животные - собаки и попугаи, а у тебя есть домашние животные?', 'У меня два попугая. У тебя есть дети?', 'Дети - это мои животные.']",А у меня сын.,А у меня есть сын.
132,"Привет, пообщаемся? Я очень люблю кофе. Только закончила тренировку по йоге. А ты?","['Привет, чем занимаешься?']","Привет, пообщаемся? Я очень люблю кофе. Только закончила тренировку по йоге. А ты?","Привет, пообщаемся? Я очень люблю кофе. Только закончила тренировку по йоге. А ты чем занимаешься?"
133,Чем занимаешься?,"['Привет.', 'Привет, как дела?', 'У меня дела отлично, а у тебя дела?']",Чем занимаешься? Тоже хорошо.,Чем занимаешься? У меня тоже хорошо дела.
134,"Хорошо, у тебя есть животные? У меня попугай.","['Привет мне 9 лет. Я люблю свою маму.', 'Привет, как настроение? Мне 45 годиков.']","Хорошо, у тебя есть животные? У меня попугай.","Настроение хорошо, у тебя есть животные? У меня попугай."
135,"Это шаурма) Знаешь, что такое шаурма?","['Привет.', 'Привет.', 'Как дела, как день?', 'Дела хорошо. Что ты любишь?', 'Не сомневаюсь, что хорошо дела, чем занимаешься.', 'Ничем не занимаюсь, хожу из угла в угол. Я хочу шавуху.', 'Люблю животных очень готовить, у меня это очень хорошо получается. Шавуха это что такое?']","Это шаурма) Знаешь, что такое шаурма?","Шавуха это шаурма) Знаешь, что такое шаурма?"
136,"Сочувствую. Я, несмотря на возраст (мне 50 лет) и занятость, уделяю время увлечениям. Я принимаю участие в марафонах, где ты работаешь?","['Привет.', 'Привет!', 'Чем занимаетесь?', 'Читаю газеты. А ты?', 'Я играю в компьютерные игры.', 'Мое хобби - танцы. Я хорошо танцую. А твоё какое хобби?', 'Нет времени на хобби, у меня много кредитов.']","Сочувствую. Я, несмотря на возраст (мне 50 лет) и занятость, уделяю время увлечениям. Я принимаю участие в марафонах, где ты работаешь?","Сочувствую из за кредитов. Я, несмотря на возраст (мне 50 лет) и занятость, уделяю время увлечениям. Я принимаю участие в марафонах, где ты работаешь?"
137,"Ах-ха-ха, очень интересно! Ну, отправляйтесь тогда на поиски! До свидания!","['Здравствуйте! Как вас зовут?', 'Добрый вечер, меня зовут Сергей, как Вас зовут? Чему увлекаетесь?', 'Я Александра, живу в Санкт-Петербурге. Я увлекаюсь танцами и работаю в направлении своего хобби. А вы откуда и чем увлекаетесь?', 'Здорово, я тоже в Санкт-Петербурге живу. Моё увлечение - моя работа, я фотографирую красивые пейзажи. В свободное время люблю играть, вы играете во что-нибудь?', 'Нет, не особо люблю играть. В свободное время я пытаюсь научиться готовить, но пока у меня не получается...', 'Глупый вопрос насчёт игр, просто я в последнее время подсел на игру покемоны, может, слышали о такой.', 'Вы один живёте или с кем-то? Да что-то такое слышала о игре покемоны.', 'И какое же ваше любимое блюдо? Да, я живу один, частенько слушаю музыку в одиночестве, предпочитаю джаз.', 'Моё любимое блюдо - суши! Как я вас понимаю, тоже живу одна после развода.', 'Люблю японскую кухню - суши! Александра, а у вас есть какая-нибудь мечта?', 'Знаете, моя мечта - есть суши на завтрак, обед и ужин! А ваша какая мечта?', 'Как я понял, вы очень любите суши, да я бы тоже не отказался есть их целый день. Моя мечта стать известным, как-то прославится. У меня есть металлоискатель, может, найду что-нибудь интересное и прославлюсь.']","Ах-ха-ха, очень интересно! Ну, отправляйтесь тогда на поиски! До свидания!","Ах-ха-ха, очень интересно стать известным! Ну, отправляйтесь тогда на поиски чего-нибудь! До свидания!"
138,"А я студент, поэтому времени готовить особо нет.","['Привет.', 'Привет. Что делаешь?', 'Играю в комп. Ты что делаешь?', 'Готовлю. Люблю готовить сама, поострее что-нибудь.']","А я студент, поэтому времени готовить особо нет. Что расскажешь?","А я студент, поэтому у меня времени готовить особо нет. Что расскажешь?"
139,"Не боюсь, мне очень нравится. Париж - красивый город. Понравилось?","['Привет.', 'Привет. Как дела? Занимаюсь нелюбимым делом.', 'Хорошо мои дела, как твои?', 'Убираюсь. Что ты делаешь?', 'Я сейчас на работе нахожусь. Я работаю врачом.', 'Здорово... Лечишь людей))) А семья у тебя есть? Я уже два раза замужем. Так складывается)))', 'А у меня вот семьи, к сожалению, нет.', 'У тебя много пациентов?))) Хобби какое-то есть? Я на мотоцикле гоняю.', 'Не особо много я люблю путешествовать, вчера, например, в Париже была Ого, здорово, не боишься гончть на мотоцикле?']","Не боюсь, мне очень нравится. Париж - красивый город. Понравилось?","Не боюсь гонять на мотоцикле, мне очень нравится. Париж - красивый город. Понравилось там?"
140,"Ах, как это мило! Прости, но мне пора к стоматологу. Буду получать удовольствие, никогда их не боялась.","['Привет, я Катя!', 'Привет, я Лера!', 'Чем увлекаешься, Лера?', 'Я работаю учительницей английского и французского языков. Люблю петь в караоке с друзьями. А ты чем увлекаешься?', 'А я люблю вышивать, никогда не играла в компьютерные игры, всё время только и вышиваю.', 'Ого, здорово, ты вышиваешь!', 'Люблю путешествовать, мечтаю побывать во Флоренции.', 'Я тоже хочу путешествовать. Специально языки учила. 5 языков знаю. Но сейчас собираю деньги на квартиру. Хочу купить себе своё личное жильё. Купить личное жилье это одна из моих мечт.', 'Как я тебя понимаю про мечту купить жилье. Я, когда себе купила квартиру, украсила квартиру в зелёный цвет. Зеленый цвет мой любимый.', 'Здорово, ты украсила квартиру зеленым цветом. А мне хочется, чтоб в квартире было очень светло и белая мебель. Но чтоб в квартире из мебели только комоды, без шкафов. А то я низкая и никогда ничего не могу достать с верхних полок. Я всего 150 см.']","Ах, как это мило! Прости, но мне пора к стоматологу. Буду получать удовольствие, никогда их не боялась.","Ах, как это мило, что вы всего 150 см! Прости, но мне пора к стоматологу. Буду получать удовольствие у стоматолога, никогда их не боялась."
141,"Я пеку ночью, говорят, что вкусно получается. А завтра утром на работу... На кого учишься?","['Привет.', 'Приветик. Как тебя зовут?', 'Меня зовут Михаил. Чего не спишь? Я вот готовлюсь к колледжу.']","Я пеку ночью, говорят, что вкусно получается. А завтра утром на работу... На кого учишься?","Я пеку ночью, говорят, что у меня вкусно получается печь. А завтра утром на работу... На кого учишься?"
142,"История: Я учусь последний год. Хочу поступать в медицинский. Люблю людей спасать. Неполное высказвание: О классе: моя сестра, журналист, может про тебя написать статью.","['Привет. Ты где работаешь?', 'Привет! Я ещё учусь, подрабатыв тоже, впрочем.', 'А у меня своя фирма - я издатель.', 'Я учусь последний год. Хочу поступать в медицинский. Люблю людей спасать.']","О классе: моя сестра, журналист, может про тебя написать статью.","О классе расскажу: моя сестра, журналист, может про тебя написать статью."
143,"Привет, отлично, а твои как?","['Привет, как дела?']","Привет, отлично, а твои как?","Привет,  дела отлично, а твои дела как?"
144,"Тоже хорошо, отдыхаем с бригадой, я работаю строителем. А ты кем работаешь?","['Привет, как дела?)', 'Привет. Как всегда дела после йоги - прекрасно. А у тебя?']","Тоже хорошо, отдыхаем с бригадой, я работаю строителем. А ты кем работаешь?","Тоже дела хорошо, отдыхаем с бригадой, я работаю строителем. А ты кем работаешь?"
145,"Не разбудила? А то я жаворонок, вечно рано пишу.","['Доброе утро!', 'Привет. Я лётчик, очень люблю небо.']","Не разбудила? А то я жаворонок, вечно рано пишу.","Не разбудила я тебя? А то я жаворонок, вечно рано пишу."
146,"Оу, а я из ОАЭ, и поэтому никогда не видел снег.","['Художник на связи.', 'Приветствую тебя добрый друг, ты и в правду художник?', 'Да, конечно я художник, а ещё я люблю компот из сухофруктов. Я даже посвятил ему пару картин.', 'У меня есть прекрасная бабушка, которая в детстве всё время готовила мне компот. Это одно воспоминание из детства: в каком жанре ты пишешь картины? И как относишься к музыке?', 'Я свободный художник. К музыке я нейтрален. Мне больше нравятся собаки. А ты из России?', 'Мне всегда казалось, что талантливые, как ты, люди не могут быть равнодушными к музыке! Я очень люблю петь, да, я живу в Сибире здесь очень холодно.']","Оу, а я из ОАЭ, и поэтому никогда не видел снег.","Оу из Сибири, а я из ОАЭ, и поэтому никогда не видел снег."
