,model_out_raw,history,text,restored_text
339,На кого? Я учусь в универе. Подрабатываю.,"['Привет, как дела? Чем занимаешься?', 'Привет. Я учусь в колледже.']",На кого? Я учусь в универе. Подрабатываю.,На кого учишься? Я учусь в универе. Подрабатываю.
340,"Алевтина Егорова, а тебя?","['Привет.', 'Привет.', 'Как тебя зовут? Чем занимаешься?', 'Сколько тебе лет?', 'Мне 30 лет, а тебе сколько лет?']","Алевтина Егорова, а тебя?? Пеку пирожки для своих внуков.","Меня зовут Алевтина Егорова, а тебя как зовут?? Пеку пирожки для своих внуков."
341,"Животных нет, предпочитаю музыку в больших объемах.","['Здравствуйте.', 'Приветствую меня Артемом звать.', 'А меня зовут Алина, расскажите о себе.', 'О, ну я врач-педиатр, да вроде неплохой, как люди говорят. А вы чем занимаетесь?', 'Я домохозяйка, у меня муж и двое прекрасных детишек. А хороший врач в наше время - это редкость. Вы молодец.)) Чем увлекаетесь, помимо работы? Или она всё время отбирает?', 'Это прекрасно, что вы домохозяйка с детьми, времени на досуг вам хватает? Я вот недавно с коллегами с профсоюза в поход ходил, очень понравилось.', 'Да, вполне хватает мне времени на досуг. Когда дети в школе вышиваю, очень успокаивает или с кошкой играюсь. А у вас есть домашние животные? А поход - это очень круто, сама люблю природу, свежий воздух, приятная атмосфера. Ммм... Круто!']","Животных нет, предпочитаю музыку в больших объемах. Что ещё интересного?","Животных нет у меня, предпочитаю музыку в больших объемах. Что ещё интересного?"
342,Но мне от этого очень грустно.,"['Привет!', 'Привет.', 'Как жизнь? Как прошёл день?', 'Да жизнь так себе, возможно, потому что я простоват, люди меня избегают.', 'У меня сегодня был кошмар: тридцать поставщиков обзвонил, нигде нет нужного количества индюков, а я планировал в этом году их на ферме завести.']","Но мне от этого очень грустно. Ого, как все серьезно.","Но мне очень грустно от того, что меня люди избегают. Ого, как все серьезно, ты на ферме работаешь."
343,"Я инженер по профессии, а вы? А сейчас гуляю с собакой своей. В парке - а вы?","['Привет. Как дела?)', 'Привет. Всё отлично! А у вас как дела? Чем занимаетесь?']","Я инженер по профессии, а вы? А сейчас гуляю с собакой своей. В парке - а вы?)","Я инженер по профессии, а вы кто по профессии? А я сейчас гуляю с собакой своей. В парке - а вы чем занимаетесь?)"
344,"Да, есть.","['Привет.', 'Привет.', 'Как тебя зовут?', 'Меня зовут Александра, я агент.', 'Меня зовут Катя.', 'А тебя как зовут? Приятно познакомиться!', 'Какой ты агент? Взаимно приятно познакомиться.', 'Какое твоё любимое хобби? Моё хобби - это стрельба. И я очень люблю шахматы.', 'Я фитнесом занимаюсь и обожаю готовить.', 'У тебя есть братья?']","Да, есть. А у тебя?","Да, у меня есть братья. А у тебя есть братья?"
345,А стал?,"['Привет. Как дела?', 'Привет. Дела хорошо, у тебя как дела?', 'Отлично дела!', 'Расскажи о себе. Я не женат.', 'Ну я работаю в школе учителем истории. Люблю тяжёлую музыку.', 'Круто, тяжелую музыку любишь. А я автослесарь. Люблю автомобили.', 'Моя мечта с детства стать певцом.']",А стали?,А вы стали певцом в итоге?
346,Знаю.,"['Привет, расскажи о себе.', 'Привет. Вы здесь вообще? А то меня подруга там ждёт.', 'Да, я здесь, расскажи о себе.', 'Что так сразу рассказать? А где прелюдии? Румбу знаете? Мне румба нравится. Вы здесь вообще?']",Знаю.,Румбу знаю.
347,"Весна скоро придёт, приятно было пообщаться до свидания.","['Привет. Чем занимаешься?', 'Привет! Отдыхаю на природе с семьёй и собачкой!!! Природа тут огонь! А вы чем увлекаетесь?', 'Ок, у тебя есть собака! Здорово! У меня вот только золотая рыбка! Я продаю полуфабрикаты, вот пельмени из-за них полюбил.)) Готовить люблю! А тут это где природа огонь?', 'Очень люблю собак... У меня Лабладорчик. На Закарпатье в Украине. Очень красиво.', 'Круто! Тоже бы съездить на Закарпатье в Украуне!', 'Пельмени круто! Сама часто леплю их. И вареники тоже.', 'Но времени нет, английский учу. Да, я тоже очень люблю готовить! Чем увлекаешься?', 'Всем по немного увлекаюсь! Спортом в основном... Параллельно учась играть в шахматы. А как у вас с погодой?', 'Ну ничего с погодой. Весна скоро придёт!']",Скорее бы. Приятно было пообщаться до свидания.,Скорее бы пришла весна. Приятно было пообщаться до свидания.
348,"Да, это действительно здорово.","['Привет, как дела?', 'Привет, отлично! Давай знакомимся, я Евгения.', 'Давай знакомиться меня зовут Лиза. Чем ты занимаешься, Евгения?', 'Я не работаю, но у меня множество увлечений. Вот, например, я играю в настольные игры, а у тебя есть хобби?', 'Ну я люблю смотреть комедии, если это можно назвать хобби. А так я очень много времени провожу с детьми на работе и дома, у меня очень большая семья.', 'А где вы работаете? Я сейчас отвлекусь немного - пеку пироги.  Ч!  Ик!', 'Я социальный работник, по этому часто вижусь с детьми. Очень люблю свою работу и детей. О, пироги печь - это так здорово, а чем ещё вы увлекаетесь?', 'Я развожу муравьёв, мне очень нравится наблюдать за этими насекомыми. Вы любите спорт? Я хожу в бассейн и плаваю брассом. Могла бы вашим деткам помочь с обучением в этом деле, если, конечно же, вы хотели приобщить их к спорту.', 'На спорт не хватает времени обычно, но я очень люблю лето и летом провожу очень много времени на улице, так что это тоже можно назвать физической нагрузкой. Вы такой интересный человек, а у вас есть любимое время года?', 'Я тоже люблю лето, ведь можно плавать в водоеме.']","Да, это действительно здорово.","Да, лето это действительно здорово."
349,"Ещё больше люблю готовить разные блюда. Убираться? Не, теперь не люблю.","['Привет, я певица.', 'Привет. Хочу похвастаться, что у меня есть 2 сына и дочка! Ты любишь убираться дома? Я всё люблю домашние дела!', 'Ой, классно, что у тебя 2 сына и дочка, я тоже вышла замуж и счастливая мама.', 'Ещё больше люблю готовить разные блюда.']","Убираться? Не, теперь не люблю.","Люблю ли я убираться дома? Не, теперь не люблю убираться."
350,"Привет! Люблю, но плита на нашей съёмной квартире не очень позволяет готовить. Вы были на море?",['Приветствую! Любите вкусно покушать?'],"Привет! Люблю, но плита на нашей съёмной квартире не очень позволяет готовить. Вы были на море?","Привет! Люблю вкусно покушать, но плита на нашей съёмной квартире не очень позволяет готовить. Вы были на море?"
351,И тебе удачи.,"['Привет.', 'О, я очень люблю шашлыки.', 'О, конечно, обожаю.', 'Работаешь где? Я вот на погрузчике езжу?', 'Я работаю секретарём, иногда подрабатываю скрипачом в баре.', 'А ещё что любишь? Семья есть? Я вот в разводе алименты плачу.', 'Нет у меня семьи, я люблю путешествовать, семья не для меня.', 'А то ж норм) любишь путешествия. Конец?', 'Люблю ходить по магазинам, покупать розовые вещи - да, давай пока удачи тебе.']",И тебе.,И тебе удачи.
352,"А в кино, наверное, тогда? Моя сестра любит киноактёров всех, особенно Прилучного. Не берут в кино? Тогда таксистом идите, как все актёры... Я вот хочу стать гонщиком и мечтаю о своей машине.","['Здрасьте!', 'Привет, как зовут тебя?', 'Меня зовут Вовчик, я учусь в 6-м классе. А вы чем занимаетесь?', 'Ого, ты в 6-ом классе учишься, я выучился и на актёра, только не работаю в театре. Хочу устроиться, но не берут на работу.']","А в кино, наверное, тогда? Моя сестра любит киноактёров всех, особенно Прилучного. Не берут в кино? Тогда таксистом идите, как все актёры... Я вот хочу стать гонщиком и мечтаю о своей машине.","А в кино, наверное, тогда можете устроиться? Моя сестра любит киноактёров всех, особенно Прилучного. Не берут в кино? Тогда таксистом идите, как все актёры... Я вот хочу стать гонщиком и мечтаю о своей машине."
353,Я люблю кататься на лыжах. Сейчас самое оно кататься на лыжах. А у тебя есть хобби?,"['Привет.', 'Привет, ты кто?', 'Давай знакомиться. Я Евгений.', 'Я Андрей, мне 9 лет, а тебе сколько лет?', 'Вот решил купить сегодня ноутбук, тестирую его. Мне 30 лет. Чем увлекаешься? Я вот работаю в своё удовольствие.', 'Классно, ты купил ноутбук. А мне мама сегодня подарила попугая, когда я пришла со школы.', 'Супер, поздравляю с появлением попугая, теперь у тебя новый друг.', 'Я люблю играть. Да, уже есть новый друг у меня. Я очень люблю свою маму.', 'Я не люблю играть особо, а, наоборот, люблю живое общение.', 'А какое твое хобби?', 'Потому что люблю живое общение, много сижу в моих сетях. Я люблю кататься на лыжах. Сейчас самое оно кататься на лыжах. А у тебя есть хобби?']","Нет хобби, мне уроки делать... Пока...","У меня нет хобби, мне уроки делать пора... Пока..."
354,"Я вот на каникулах летних неделями на даче, Мурзика своего беру с собой, и хорошо нам. Хорошо, наверное, с детьми. А у меня ни мужа, ни детей, только кот мой, Мурзик.","['Привет. Поговори со мной.', 'Привет, я Колян! А ты кто?', 'Я уже забыла, как это разговаривать просто в обычной жизни, а не в школьном кабинете. Приятно познакомиться, Николай. Я Зинаида Степановна. Я преподаватель русского языка. Чем ты занимаешься, Коля?', 'Вы недавно из школы уволились? Круто, у вас всё ещё впереди! Я тоже в своём роде домохозяйка, жена работает, я дома сижу.', 'Я не уволилась еще из школы, работаю ещё в школе, тьху-тьху. Как это ты дома сидишь? Хозяйство ведёшь? Огород садишь?', 'Ну у меня трое детей, надо за всеми следить, а в деле слежки за детьми нужна мужская рука, женщины не годятся.']","Я вот на каникулах летних неделями на даче, Мурзика своего беру с собой, и хорошо нам. Хорошо, наверное, с детьми. А у меня ни мужа, ни детей. Только кот мой, Мурзик.","Я вот на каникулах летних неделями на даче, Мурзика своего беру с собой на дачу, и хорошо нам с Мурзиком. Хорошо, наверное, тебе с детьми. А у меня нет ни мужа, ни детей. У меня есть только кот мой, Мурзик."
355,"Ещё у меня есть хобби - химия, хожу на кружок.","['Привет.', 'Добрый день!', 'Любишь готовить? Я да, люблю готовить, моё любимое блюдо - пицца!', 'Здорово, ты любишь пиццу! А я люблю манго.']","Ещё у меня есть хобби - химия, хожу на кружок.","Ещё у меня есть хобби - химия, хожу на кружок по химии."
356,"Привет. Как дела? Нормально, а у тебя?","['Привет.', 'Привет. Как дела?']","Нормально, а у тебя?","Дела нормально, а у тебя?"
357,"Ну там... В горы слазить, на авто погонять, с палаткой в лесу пожить. Фрилансер.","['Привет.', 'Привет. Как дела? Чем занят?', 'Отлично, кошек тискаю! А ты чем занят?)', 'О, а я кошек не люблю, мне больше собаки нравятся, их у меня 2. Сейчас я читаю книгу. Любимое моё дело.', 'Скоро поеду в приют. Я там волонтёр.', 'Поехать в приют хорошее дело. Я, наверное, винишко попью. Пока моей подруги дома нет.', 'Я думаю, что книги - это скучно. Я больше по драйву.', 'А чем ещё, кроме волонтёрства, занимаешься? Что за драйв?', 'Помогаю у мамы с папой в больнице. Они врачи, а я люблю помогать людям.', 'Книги тоже весело. Можно спокойно похрумкать любимые мои яблоки. Молодец, помогаешь родителям в больнице. Ты студент, что ли? Что-то много у тебя свободного времени?']","Ну там... В горы слазить, на авто погонять, с палаткой в лесу пожить. Фрилансер.","Ну драйв - это там в горы слазить, на авто погонять, с палаткой в лесу пожить. Я фрилансер."
358,"Играю, но в принципе. Да, как ты?","['Привет, чем занимаешься?', 'Привет, в лотерею играю, а ты чем занимаешься?', 'Часто выигрываешь в лотерею? Смотрю туристические маршруты.', 'У меня есть талисман, так что мне кажется, я довольно везучий. А зачем туристические маршруты смотришь?', 'Смотрю туристические маршруты, потому что кругосветку планирую. Какой талисман у тебя есть?', 'Мой талисман браслет, жена браслет подарила. Ты один в кругосветку поедешь?', 'Ну почему я один в кругосветку поеду? Я поеду с яхтой. Чем по жизни занимаешься? Ку-ку, ты тут?']","Играю, но в принципе. Да, как ты?","По жизни играю, но в принципе. Да, как ты?"
359,"Я очень люблю садоводство, особенно цветы. Хз, но у меня большая семья, мне приходится любить шопинг, чтобы всех их одеть, а ты? Чем ты занимаешься? Хобби? Ау!","['Привет.', 'Привет от студента и от двух попугаев, как в семье дела?', 'Дела хорошо, жена не болеет. Где ты живешь?']","Я очень люблю садоводство, особенно цветы. Хз, но у меня большая семья, мне приходится любить шопинг, чтобы всех их одеть, а ты? Чем ты занимаешься? Хобби? Ау!","Я очень люблю садоводство, особенно цветы. Хз, но у меня большая семья, мне приходится любить шопинг, чтобы всех своих родных одеть, а ты любишь ходить по магазинам? Чем ты занимаешься? У тебя есть хобби? Ау!"
360,Обожаю гитару. А ты предпочитаешь...,"['Привет.', 'Привет. Чем занимаешься?', 'С собакой гуляю, люблю это делать, и она в восторге от прогулок, а ты чем занимаешься?', 'Музыку слушаю.', 'Какую музыку любишь?']",Обожаю гитару. А ты...,Обожаю гитару. А ты что обожаешь?
361,"Готовлю салаты, мясные блюда, всю украинскую кухню. Неполное высказвание: Вкусно, я тоже такое люблю, чего не скажешь о бананах, их не люблю совсем. Что ещё расскажешь?","['Привет!', 'Привет, я домохозяйка.', 'Как настроение?', 'Настроение норм. А у тебя как настроение, откуда ты?', 'Опиши себя. У меня чёрные волосы, карие глаза.', 'У меня тоже чёрные волосы, карие глаза, среднее телосложение.', 'У меня тоже хорошее настроение: прям танцую, люблю танцевать, расскажи о себе? У тебя есть хобби?', 'Я мама двоих детей, а у тебя есть дети? Я люблю готовить, гулять на природе. Я люблю вышивать. У меня есть мопед.', 'Супер, детки это хорошо, а что готовишь? Мопед для мамы с детками это классно, ты рисковая.', 'Готовлю салаты, мясные блюда, всю украинскую кухню.']","Вкусно, я тоже такое люблю, чего не скажешь о бананах, их не люблю совсем. Что ещё расскажешь?","Украинская кухня это вкусно, я тоже такое люблю, чего не скажешь о бананах, их не люблю совсем. Что ещё расскажешь?"
362,Что за деревенька? Далеко от города? Ты любишь животных?,"['Привет.', 'Привет. Ты откуда?', 'Я из России. Живу у моря. А ты откуда? Как тебя зовут?', 'Ты моряк?) А я живу в деревёнке. Много мечтаю. И некоторые мечты сбываются.']",Что за деревенька? Далеко от города? Ты любишь животных?,"Что за деревенька, в которой ты живешь? Она далеко от города? Ты любишь животных?"
363,"Я тебя со своим напарником Рексом познакомлю, он очень ласковый.","['Здрасте.', 'Привет, я Алина, мне 20 лет.', 'Как житуха твоя? Привет, Алина. Ты из какого города?', 'Жизнь отлично, сейчас сижу в кафешке, жду своего очередного поклонника. Я из Нижнего Новгорода. А ты откуда? Чем занимаешься по жизни?', 'Я из Иркутска, скоро буду проездом, как раз у вас в Нижнем Новгороде, может, пересечемся с тобой? Дальнобойщик я путешествовать люблю, работа мечты.', 'Ага, нам надо встретиться обязательно. Я очень люблю подарки, а ты любишь подарки?']","Я тебя со своим напарником Рексом познакомлю, он очень ласковый. Подарки люблю дарить, а ты получать? Могу привезти тебе подарок.","Я тебя со своим напарником Рексом познакомлю, Рекс очень ласковый. Подарки люблю дарить, а ты получать подарки любишь? Могу привезти тебе подарок."
364,"Дизайнер, в свободное время люблю вышивать и слушать музыку.","['Привет!', 'Привет. Тебя как зовут?', 'Меня зовут Александр, можно просто Саша. А тебя как зовут?', 'Меня зовут Ирина. Приятно познакомиться. Ты из какого города?', 'И мне приятно познакомиться!', 'Учишься или работаешь? Я из Иркутска.', 'Учусь. В свободное время занимаюсь велоспортом. Я спортсмен. Регулярно участвую в соревнованиях и имею много наград, а какое у тебя хобби?', 'Велоспорт - это отлично! Планирую летом отвезти жену и детей на дачу, чтобы кататься на велосипеде всем вместе. ', 'Расскажи о себе.', 'Я работаю сейчас на стройке, люблю дачу, рыбалку.', 'А я пока не замужем и у меня нет семьи. Живу одна, верю в любовь. Но, видимо, ещё время не пришло для семьи.', 'Это ничего, что у тебя нет семьи, всё придёт со временем.', 'И я не нашла своего человека.', 'На кого учишься, если не секрет?']","Дизайнер, в свободное время люблю вышивать и слушать музыку.","Я дизайнер, в свободное время люблю вышивать и слушать музыку."
365,"У тебя есть машина? Собираюсь покупать, спорт - это здоровье.","['Привет. Расскажи о себе.', 'Привет. Люблю собак, а ты любишь собак?', 'Я очень люблю собак. Собак у меня двое, у нас много общего, люблю смотреть фильмы, особенно ужасы.', 'Получается, у нас похожие хобби должны быть хобби-коллекционирование.', 'А я сама не увлекаюсь коллекционированием, но коллекционирование это очень интересно.', 'Я люблю фильмы про футбол, вообще люблю заниматься спортом.']","У тебя есть машина? Собираюсь покупать, спорт - это здоровье.","У тебя есть машина? Я собираюсь покупать машину, спорт - это здоровье."
366,"Нет, детей нету.","['Привет!', 'Привет! Чем занимается твоя мама? Моя мама вот фитнес-тренер.', 'Моя мама учитель, и в профессии я пошёл по маминым стопам. Недавно я получил образование педагога. А кем работаешь ты?', 'Круто, ты пошел по стопам своей мамы! Кстати, ты летом летаешь на море? Я вот нет, плавать не умею. Зато ем мороженку с малиной. Профессии пока, можно сказать, у меня нет, но недавно я окончил музыкальную школу.', 'Здорово, ты окончил музыкальную школу! На море мы недавно были с супругой в медовом месяце. У тебя есть дети?']","Нет, детей нету. Зачем картавым дети?","Нет, у меня детей нету. Зачем картавым дети?"
367,"Я Алина, певица, выступаю с концертами со своей группой. А вы?","['Привет.', 'Добрый день! Кем вы работаете?']","Я Алина, певица, выступаю с концертами со своей группой. А вы?","Я Алина, певица, выступаю с концертами со своей группой. А вы кем работаете?"
368,"Олег, работаешь?","['Привет. Не хочешь познакомиться?', 'Наше вам, да, хочу познакомиться, всегда приятно пообщаться с новыми людьми.', 'Как тебя зовут?', 'Меня зовут Дима, а тебя как зовут?', 'Меня зовут Олег, ты работаешь?']","Не сейчас в свободном плавании, раньше в армии служил, но потом достала эта обязаловка. Плюнул на всё, купил тайоту и умчал от туда в закат. Ужасное место, никому не посоветуешь. Всё время занимают всякие построения и дежурства. Не хватает времени на личную жизнь.","Не работаю, сейчас в свободном плавании, раньше в армии служил, но потом достала эта обязаловка. Плюнул на всё, купил тайоту и умчал от туда в закат. Ужасное место, никому не посоветуешь. Всё время занимают всякие построения и дежурства. Не хватает времени на личную жизнь."
369,"Что-то в дом несу, бывает и отпускаю рыбу.","['Привет.', 'Привет! Как тебя зовут?', 'Напиши что-нибудь, люблю читать. Меня зовут Маша, а тебя как зовут?', 'Я Анатолий.', 'Чем занимаешь?', 'Глажу кошку. Это если в данный момент...', 'Я тоже глажу кошку, только к нам ещё и кот лезет.', 'Чем ты любишь заниматься? Есть ли у тебя хобби?', 'Стихи сочиняют, правда, стихи не очень. А ты чем любишь заниматься?', 'Я рыбалку люблю!', 'Много наловил рыбы на рыбалке?', 'Правда, не люблю рыбу готовить. Да, по настроению ловлю рыбу можно сказать.', 'Это как - ловить рыбу по настроению? :))))))))']","Что-то в дом несу, бывает и отпускаю рыбу.","Что-то из рыбы в дом несу, бывает и отпускаю рыбу."
370,"Ирина, а как тебя зовут?",['Приветик) Как тебя зовут?'],Ирина. А как тебя зовут?,Меня зовут Ирина. А как тебя зовут?
371,"Хорошо, но не приятно, когда они разочаровывают.","['Привет.', 'Привет.', 'Познакомимся?', 'Да, конечно давай познакомимся. Чем ты занимаешься? Любишь животных?', 'Зарабатываю деньги. Обожаю животных. А ты чем занимаешься?', 'Каким способом зарабатываешь? Я работаю на заводе.', 'Я ветеринар. Лечу животных.', 'А у тебя есть животные, у меня есть попугай. Рокки зовут попугая.', 'У меня две кошки. Зовут кошек Кокос и Соня.', 'Хорошая работа ветеринар - лечить животных.', 'Чем ты занимаешься? Помимо работы...', 'Я люблю путешествия. Особенно ездить к морю. Какое у тебя хобби?', 'Я активно занимаюсь спортом. Как ты относишься к людям?']","Каким именно занимаешься? Хорошо, но не приятно, когда они разочаровывают.","Каким именно занимаешься спортом? Хорошо отношусь к людям, но не приятно, когда они разочаровывают."
372,"Ой, круто!","['Привет. Я Соня, приятно познакомиться.', 'Привет.', 'Как дела? Чем занимаетесь?', 'Я пока безработный, а вы чем увлекаетесь?', 'А я пока декрете, у меня дочь маленькая, но по образованию я учитель. А вы на кого учились? И что любите?', 'Я учился на менеджера. Я обожаю хот-доги. А вот Макдональдс не очень люблю.', 'Я бы вам приготовила хот-дог :). Люблю готовить. Да, в Макдональдсе в качестве не заботятся.']","Ой, круто.))","Ой, круто, если бы приготовили.))"
373,"Ну это на даче. А так-то в центре города живу, там вискарь и прочее, но только когда в рейс не надо. Строго.","['Привет.', 'Привет. Что делаешь?', 'Сижу у камина и смотрю в окно, а там дождь... Не люблю дождь. А ты любишь дождь?', 'О! Я тоже дождь не люблю, потому как дороги мокрые, и машину заносит. Я ведь дальнобойщик.', 'Круто, что ты дальнобойщик! Я не работаю, сижу дома, верна жена, мне нравится уют.', 'Но камин у меня тоже есть. Печка, в общем, просто я холостой. Женюсь, в камин переделаю. Мне тоже уют по нраву. Сидишь вот так самогончик пьёшь, и собачку гладишь. Идиллия в целом.', 'Чё именно самогон-то пьёшь? Всё сказать можно.']","Ну это на даче. А так-то в центре города живу, там вискарь и прочее, но только когда в рейс не надо. Строго.","Ну это на даче самогон пью. А так-то в центре города живу, там вискарь и прочее пью, но пью только, когда в рейс не надо. Строго с выпивкой."
374,Я инженер. Сижу инженерю в НИИ... Поэтому хобби такие активные. А у вас?,"['Здравствуйте!', 'Привет, как дела?', 'Хорошо дела, спасибо! Как поживаете? Любите детей? Я очень! Работаю учителем, и эта профессия приносит мне большое счастье.', 'Собираюсь готовить жене и дочкам. Настрелял намеднидичи и наловил рыбы в Подмосковье. Детей люблю. Но рыбалку и охоту больше. Шутка.', 'Как интересно, ходить на рыбалку, наловить рыбы и готовить для жены и дочек!']",Я инженер. Сижу инженерю в НИИ... Поэтому хобби такие активные. А у вас?,Я инженер. Сижу инженерю в НИИ... Поэтому хобби у меня такие активные. А у вас?
375,"Я как раз только с пробежки, вообще люблю спорт.","['Привет.', 'Приветик) Как настроение?', 'Настроение отличное, погода сегодня прекрасная была.', 'Да, вполне ничего сегодня была погода.']","Я как раз только с пробежки, вообще люблю спорт.","Я как раз только с пробежки вернулся, вообще люблю спорт."
376,С удовольствием гоняю на своём мотоцикле. Аты?,"['Привет, я слесарь, а ты кто?', 'Привет!', 'Я учусь в институте. Что делаешь? Я вот в свободное время занимаюсь спортом.', 'Сейчас пью чай, а вообще, я не пью и не курю. Молодец, что занимаешься спортом!', 'Ого, не пьешь и не куришь!', 'Прямо как я, не пью и не курю!', 'У тебя есть семья?', 'У меня нет семьи. А у тебя есть семья?', 'У меня жена и два пацана, и я сам построил дом. А ты чем увлекаешься?']",Спортом А также люблю гонять на своём мотоцикле Аты?,Спортом увлекаюсь. А также люблю гонять на своём мотоцикле. А ты чем увлекаешься?
377,"Не знаю, спокойную, наверное.","['Привет, как делишки? Чем занят?', 'Привет, я мечтательная и весёлая студентка.', 'Здорово, а я в данный момент люблю свою собаку.', 'Играю со своей рыжей собакой.', 'Ой, да у нас столько общего, собак любим.', 'Класс, мы оба любим собак.', 'На каком курсе учишься? Чем увлекаешься? Работаю на заводе инженером, делаю чертежи для самолетов-бомбардировщиков.', 'Ты любишь спорт, я люблю бегать по утрам.', 'Да, я тоже люблю активный спорт, но увлекаюсь в основном футболом.', 'Эх ты.', 'Какую музыку предпочитаешь? Я слушаю только рок.']","Не знаю, спокойную, наверное.","Не знаю, слушаю спокойную музыку, наверное."
378,Как всегда отлично! Готовлю обед. А что со швабрами не так?,"['Привет.', 'Привет, как настроение?', 'Замечательное настроение! У тебя как настроение?', 'Чем занимаешься?', 'Да швабры собираю, а ты чем занимаешься?']",Как всегда отлично! Готовлю обед. А что со швабрами не так?,Как всегда отлично дела! Готовлю обед. А что со швабрами не так?
379,Бывает и такое.,"['Привет. Поговори со мной.', 'Привет, я Колян! А ты кто?', 'Я уже забыла, как это разговаривать просто в обычной жизни, а не в школьном кабинете. Приятно познакомиться, Николай. Я Зинаида Степановна. Я преподаватель русского языка. Чем ты занимаешься, Коля?', 'Вы недавно из школы уволились? Круто, у вас всё ещё впереди! Я тоже в своём роде домохозяйка, жена работает, я дома сижу.', 'Я не уволилась еще из школы, работаю ещё в школе, тьху-тьху. Как это ты дома сидишь? Хозяйство ведёшь? Огород садишь?', 'Ну у меня трое детей, надо за всеми следить, а в деле слежки за детьми нужна мужская рука, женщины не годятся.', 'Я вот на каникулах летних неделями на даче, Мурзика своего беру с собой на дачу, и хорошо нам с Мурзиком. Хорошо, наверное, тебе с детьми. А у меня нет ни мужа, ни детей. У меня есть только кот мой, Мурзик.', 'Люблю сериалы смотреть, недавно смотрел Домашний Арест) Прям про нашу жизнь снято. У меня арахнофобия - боязнь пауков, а там столько паутины в одной из серий было, я чуть не умер со страху.', 'Я всю себя работе посвятила, да и не складывается у меня с личной жизнью. Зато цветов дома много, вот с цветами складывается. Люблю цветы. Ух ты, ты боишься пауков. А темноты не боишься?', 'Цветы - это хорошо, а как так получилось, что у тебя Мурзик есть, а мужа и детей нет? Темноты я не боюсь совсем.', 'Я вот жутко боюсь темноты. Фантазия моя в темноте на высшем уровне работает.']","Бывает и такое. Приезжайте в Сургут, я вам экскурсию по городу организую! До встречи!","Бывает и такое, что темноты боишься. Приезжайте в Сургут, я вам экскурсию по городу организую! До встречи!"
380,"Отлично, я сейчас в лесу грибы собираю. А ты?","['Hi, давай общаться.', 'Привет! Как жизнь?']","Отлично, я сейчас в лесу грибы собираю. А ты?","Жизнь отлично, я сейчас в лесу грибы собираю. А ты чем занимаешься?"
381,Клево. Будешь помогать людям. Я играю в игры. Но сейчас мне уже пора готовиться к экзаменам. Пока.,"['Привет. Я Мартин. А как тебя зовут?', 'Привет! Я Эля! Приятно познакомиться!', 'Я учусь в школе. Очень люблю пообщаться. Я общительный в общем. Мне тоже приятно познакомиться, Эля. Ты любишь своих родителей?', 'Здорово, ты в школе учишься! В каком классе учишься? Ну, конечно, я люблю своих родителей. Родители - это святое.', 'Я в 9-м классе уже учусь. Хорошо учусь. У меня большие планы стоят. Мне нужно сдать экзамены.', 'А я уже закончила школу. Учусь в меде.', 'Кем ты хочешь стать в жизни?', 'Куда собираешься поступать?', 'Я на журналистику собираюсь поступать. Хочу быть журналистом. А ты кем хочешь стать в жизни?', 'Ну раз учусь на врача, значит хочу стать врачом. Чем, кроме школы, занимаешься?']",Клево. Будешь помогать людям. Я играю в игры. Но сейчас мне уже пора готовиться к экзаменам. Пока.,"Клево, ты будешь врачом. Будешь помогать людям. Я играю в игры. Но сейчас мне уже пора готовиться к экзаменам. Пока."
