,model_out_raw,history,text,restored_text
90,"Взаимно! Пишите, если будет скучно. Удачи вам!","['Приветствую.', 'Здравствуйте.', 'Как ваши дела?', 'Мои дела довольно хорошо. У меня хорошая и любимая работа - я бухгалтер. На работу хожу с удовольствием. Как твои дела?', 'Отличная работа! А я вовсе начальник. Противоречиво только немного выходит порой: я сам себе на уме и рад этому, так как люблю быть в одиночестве, но при этом мне также нужно вести беседы с коллегами. Но я не жалуюсь, люблю свою работу. Потому и дела отлично. Занимаетесь чем-то, помимо работы?', 'Да, конечно занимаюсь помимо работы. Очень люблю рисовать красками, карандашами, рисую пейзажи, натюрморты, зверей. Для моего хобби времени достаточно, поскольку я разведена, никто не мешает. Ещё люблю готовить, печь.', 'О, готовка! Замечательное хобби. Люблю всё, что связано с едой. Правда, приготовить что-либо я не в силах, поэтому просто люблю вкусно покушать. Особенно рыбу после рыбалки! Интереситесь спортом?', 'Да, спортом интересуюсь. И немного занимаюсь: бегаю по утрам и вечерам. Дело в том, что у меня три кошки, выгуливаю их вечером и утром, при этом и тренируюсь. А вы интересуетесь спортом?', 'Необычный досуг выгуливать кошек. А я занимаюсь футболом, играю в команде, люблю это дело не меньше рыбалки и работы.', 'Очень хорошо. Футбол я тоже люблю, а рыбалку особенно.', 'Что ж, приятно было пообщаться. Удачи!']","Взаимно. Пишите, когда будет скучно. Удачи и вам.","Взаимно, приятно пообщаться. Пишите, когда будет скучно. Удачи и вам."
91,"Нет, я не работаю, я домохозяйка. Люблю готовить и помешана на чистоте. А ты чем увлекаешься?","['Привет.', 'Приветик!', 'Как твои дела? Чем занимаешься?', 'Сижу дома, скукота.', 'Не работаешь? Какой твоё любимое занятие?']","Неа, я домохозяйка. Я люблю готовить. Ещё помешана на чистоте. А ты чем любишь заниматься?","Неа, я не работаю, я домохозяйка. Я люблю готовить. Ещё я помешана на чистоте. А ты чем любишь заниматься?"
92,"Да-да, семья есть.","['Здравствуйте.', 'Здравствуйте.', 'Как дела?', 'Дела хорошо, как у вас?', 'У меня всё всегда отлично. У вас как дела?', 'Всё хорошо, чем увлекаетесь?', 'Увлекаюсь рыбалкой и рисую шаржи. А вы чем увлекаетесь?', 'Я люблю рисовать.', 'Есть семья у вас?']",Да-да.,"Да-да, у меня есть семья."
93,"Лыжи — это здорово, жаль, что сезон заканчивается.","['Привет!', 'Привет. Чем занимаешься?', 'Чем увлекаетесь?', 'Моя профессия - моё хобби. По театрам хожу. Театральный критик. А вы чем занимаетесь?', 'А я собираюсь идти в спортшколу, учусь в шахматы играть.', 'До сих пор не понимаю, почему шахматы - это спорт.', 'Жаль, зима кончается, на лыжах с мужем катаемся.']",Это да.,"Это да, жаль, что зима кончается."
94,"Я сейчас на работе, работаю инструктором по фитнесу. А ты работаешь? Дети – это хорошо, но у меня их пока нет.  

(Сократила повторяющиеся моменты и сделала высказывание более плавным, сохранив суть.)","['Привет!', 'Привет, как жизнь?', 'Жизнь отлично, ты как? Чем занимаешься?', 'Я тоже норм. Я еду с сыном в ветеринарку за котом.']","На работе. Инструктор по фитнесу. Работаешь? Дети - это хорошо, у меня нет.","Я на работе. Инструктор по фитнесу. Работаешь? Дети - это хорошо, у меня нет."
95,"Ты любишь сладкое? А у меня есть семья: муж работает дворником и маленький сын, я их очень люблю.","['Привет. Давай пообщаемся.', 'Привет! Рада знакомству! Давай пообщаемся. Я не против пообщаться. Как тебя зовут?', 'Чем любишь заниматься в свободное от работы время? Я обожаю бегать по утрам с собакой. Это здорово заниматься спортом! Меня зовут Андрей. А тебя как зовут?', 'У меня не очень много свободного времени, я работаю учителем и поэтому часто беру работу домой. Но когда у меня есть свободное время, я люблю танцевать. А чем ты занимаешься помимо работы? Спорт - это всегда хорошо. Но я больше предпочитаю азартные игры, мне нравится играть в карты. Меня зовут Настя. Очень приятно.', 'Ещё люблю кататься на роликах по парку. А после дома поесть фруктов и выпить сока. Очень приятно. Рад знакомству.', 'У тебя есть семья, дети?', 'Ты любишь сладкое? Семьи и детей у меня нет, только собака.']","Не очень люблю сладкое. А ты? А у меня есть семья, муж работает дворником и маленький сын, я их очень люблю.","Не очень люблю сладкое. А ты любишь сладкое? А у меня есть семья, муж работает дворником и маленький сын, я их очень люблю."
96,"Пока у меня нет домашних животных. Я хочу переехать в Москву — скоро дособеру деньги и тогда, наверное, заведу питомца. А ты чем занимаешься, кроме танцев? Расскажи о себе.","['Привет.', 'Привет.', 'Как дела?', 'Нормально дела, недавно из приюта пришла, а у тебя?', 'У меня тоже дела нормально. Ещё на почте работаю. Скоро домой. У тебя есть мечта?', 'Да, я люблю танцевать, мечтаю найти свою половинку в танце. Я собираюсь покормить своих попугаев, их зовут Кеша и Тоша, а у тебя есть домашние животные?']","Ещё нет. Я хочу в Москве жить. Скоро дособираю деньги, перееду. Тогда, наверно, и заведу. Расскажи о себе. Чем занимаешься?","Ещё нет у меня домашних животных. Я хочу в Москве жить. Скоро дособираю деньги, перееду. Тогда, наверно, и заведу. Расскажи о себе. Чем занимаешься?"
97,Ты будешь готовить свинину или говядину?,"['Привет.', 'Привет.', 'Как твоё настроение сегодня?', 'Настроение отлично, скоро куплю машину, а твоё настроение как?', 'Здорово, ты скоро купишь машину! У меня тоже настроение на позитиве! Я очень давно хочу в Бразилию, и, кажется, сегодня моя мечта сбудется! Вечером поедем с подругой в турфирму оплачивать наш тур в Бразилию. А у тебя есть мечта?', 'Давно хочу завести лабрадора, прям с детства хочу собаку. Может, когда дочка подрастет заведу себе лабрадора.', 'Моей собаке уже 5 лет, и я даже не представляю, как я могла жить без своей собаки раньше?! Я думаю, что у тебя всё получится и у вас скоро обязательно появится питомец! Ведь собаки такие милые! Что сегодня будешь готовить на ужин?', 'Сегодня на ужин будет мясо с кровью! Вот только надо в магазин... Эх, пойду прогуляюсь под дождём, это успокаивает.']","Ого! Будешь готовить свинину или говядину? Обожаю лук, поэтому у меня сегодня лёгкий ужин - луковый суп. И, конечно, никакого алкоголя. Ок, прогуляйся. А я пойду лук чистить. Ну пока.","Ого! Будешь готовить свинину или говядину? Обожаю лук, поэтому у меня сегодня лёгкий ужин - луковый суп. И, конечно, у меня не будет никакого алкоголя. Ок, прогуляйся. А я пойду лук чистить. Ну пока."
98,"Вот это да! И в отпуске ремонт, и за невесткой ухаживаешь – молодец!","['Привет.', 'Привет, ремонт дома делаю, ты чем занят? Ты тут?', 'Я на работе сейчас работаю, как говорится. Инженер, работа не трудная. ? увлекаешься? Конечно тут.', 'Супер, что тут, а я в отпуске ремонт делаю, жена моего сына ждёт, так что за ней ухаживаю! Я счастливый человек.']",Молодец.,"Молодец, что делаешь ремонт и ухаживаешь за женой."
99,"У меня есть три увлечения, но на любимые занятия всегда нужно находить время. Работа, как говорится, не волк — в лес не убежит. Кстати, Аркадий, а как зовут твою собаку?","['Здравствуйте, расскажите о себе.', 'Будь здрав! Зовут Николай, я рубаха парень. Люблю попить пивка с друзьями.', 'Я адвокат, очень люблю свою работу, но, к сожалению, не могу выспаться из-за своей работы.', 'А вообще, я заядлый охотник.', 'Вы работаете?', 'Работаю аж на трёх работах.', 'У вас, наверное, есть собака охотничья?', 'А чем увлекаешься? Обязательно, у меня есть охотничья собака! Куда ж без охотничьей собаки.', 'У меня тоже есть пёс, овчарка.', 'Как зовут вашего пса?', 'К сожалению, работа не оставляет времени на увлечения. Я Аркадий.']","У меня их три, но на любимые занятия всегда нужно находить время. Работа, как говорится, не волк, а собаку-то как зовут?","У меня работ три, но на любимые занятия всегда нужно находить время. Работа, как говорится, не волк, а собаку-то вашу как зовут?"
